@relation MDS_Matrix

@attribute attr_0 real
@attribute attr_1 real
@attribute attr_2 real
@attribute attr_3 real
@attribute attr_4 real

@data
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
-2724.88,32.08,-0,-34.89,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.51,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.51,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.51,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
-2724.88,32.08,-0,-34.89,-0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2724.88,32.08,-0,-34.89,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
-2724.88,32.08,-0,-34.89,-0
-2722.11,28.85,-0,-29.87,-0
-2724.88,32.08,-0,-34.89,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
-2727.66,36.11,-0,-41.95,-0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
-2727.66,36.11,-0,-41.95,-0
-2722.11,28.85,-0,-29.87,-0
-2724.88,32.08,-0,-34.89,-0
2836.52,-0.15,0,0.11,0
-2722.11,28.85,-0,-29.87,-0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
2836.52,-0.15,0,0.11,0
-2724.88,32.08,-0,-34.89,-0
-2724.88,32.08,-0,-34.89,-0
-2722.11,28.85,-0,-29.87,-0
-2722.11,28.85,-0,-29.87,-0
